load_container;start_container;start_application;stop_container;remove_container;remove_image;image_size;application;service;deployment_type;date_time
9399524505;938365748;3702193;242038556;16641305;335090217;2048;nginx;docker;host;2024-01-26 08:53:23
9918081565;865372987;3600810;281921292;15996267;339567302;2048;nginx;docker;host;2024-01-26 08:56:25
10489214471;821402277;3144907;230288440;28521099;371657838;2048;nginx;docker;host;2024-01-26 08:59:27
9333870714;1463699643;4049197;509356192;100146437;359034475;2048;nginx;docker;host;2024-01-26 09:02:30
9290066487;868032295;3319910;248035850;39960473;348719220;2048;nginx;docker;host;2024-01-26 09:05:31
9277028105;930162413;3721354;283591250;57946415;382132988;2048;nginx;docker;host;2024-01-26 09:08:33
9530051443;862141660;3576727;276857906;12885498;324393237;2048;nginx;docker;host;2024-01-26 09:11:34
9645725997;1582830990;3605805;267701823;19627768;343542525;2048;nginx;docker;host;2024-01-26 09:14:37
9346457571;856218379;3470459;264406107;38054201;341871194;2048;nginx;docker;host;2024-01-26 09:17:38
9213365917;892291035;3069478;280200336;58347559;384687222;2048;nginx;docker;host;2024-01-26 09:20:40
10425319593;833724762;3472953;257429682;53977666;379771056;2048;nginx;docker;host;2024-01-26 09:23:42
9558974126;916895563;3614222;289930125;16522566;347129114;2048;nginx;docker;host;2024-01-26 09:26:44
9271691654;866537095;3169067;290361479;53531513;368778110;2048;nginx;docker;host;2024-01-26 09:29:46
9575365308;2031372898;3577749;639761296;62405701;390826778;2048;nginx;docker;host;2024-01-26 09:32:49
9996858620;830543895;4060675;263752374;34009702;344001958;2048;nginx;docker;host;2024-01-26 09:35:51
9339373474;867565903;3032622;274717009;54577950;378248959;2048;nginx;docker;host;2024-01-26 09:38:53
9279620747;836788191;4843830;238738109;48040742;369185315;2048;nginx;docker;host;2024-01-26 09:41:54
9383590930;2102198085;3945788;453648685;46026503;335981817;2048;nginx;docker;host;2024-01-26 09:44:57
9655555564;918584953;3363397;248789646;42632743;349662448;2048;nginx;docker;host;2024-01-26 09:47:59
15162366245;858300028;3628126;233197456;44812111;364009488;2048;nginx;docker;host;2024-01-26 09:51:06
9396772029;876843077;3708642;313262842;45123345;368966205;2048;nginx;docker;host;2024-01-26 09:54:08
9467858696;919836724;3665495;280331935;45102553;374062370;2048;nginx;docker;host;2024-01-26 09:57:10
9495797561;844174250;3594658;259903518;45048769;380158129;2048;nginx;docker;host;2024-01-26 10:00:11
9681532798;901864376;3506280;283029096;42302496;340861305;2048;nginx;docker;host;2024-01-26 10:03:13
9561590656;888378569;3675639;233661074;44748688;358758692;2048;nginx;docker;host;2024-01-26 10:06:15
9938707704;855601370;4849367;244619484;42660196;347175621;2048;nginx;docker;host;2024-01-26 10:09:17
10119481917;874772439;3592611;268759216;17155991;344817735;2048;nginx;docker;host;2024-01-26 10:12:19
12409061409;970936189;3500124;630199181;106723719;386242091;2048;nginx;docker;host;2024-01-26 10:15:24
9308113935;819277554;5625662;245124265;13720676;324969990;2048;nginx;docker;host;2024-01-26 10:18:26
9827291127;886571094;3604522;258054938;45037288;354998134;2048;nginx;docker;host;2024-01-26 10:21:28
9584539870;873929111;4211502;222945397;15301909;336765686;2048;nginx;docker;host;2024-01-26 10:24:29
9286708364;871103949;4478809;442794494;14301644;331201585;2048;nginx;docker;host;2024-01-26 10:27:31
9526094516;850553314;3650400;269264091;49467953;356668400;2048;nginx;docker;host;2024-01-26 10:30:33
9415701693;2712235019;3644689;469391701;61735508;370465158;2048;nginx;docker;host;2024-01-26 10:33:36
